e1,e2,lcs,cls,nw,anw,sw,lv,ap,slv,me,ja,jw,isub,req,sub,qgr
"taaable:Veal_riblets","category:Real_Robots","","-",-4.0,-4.0,13.0,-4.0,22.0,0.33333333333333326,0.2545454545454545,0.28535353535353536,0.28535353535353536,1.0980337856549431,1.0,1.0,0.75
"taaable:Liver_meat","category:River_deltas","","-",-5.0,-5.0,12.0,-5.0,22.0,0.41666666666666674,0.36,0.3027777777777777,0.3027777777777777,0.8636363636363636,1.0,0.9779697624190065,0.8
"taaable:Liver_meat","category:Government","","-",-4.0,-4.0,10.0,-4.0,19.0,0.4,0.45999999999999996,0.2666666666666666,0.2666666666666666,1.208298755186722,1.0,1.0,0.7777777777777778
"taaable:Glutinous_rice","dbpedia:Glutinous","","-",-5.0,-5.0,18.0,-5.0,21.0,0.3571428571428572,0.0,0.11904761904761907,0.0714285714285714,0.13043478260869557,1.0,0.10909090909090902,0.4375
"taaable:Glutinous_rice","dbpedia:Glutinous_barley","","-",-5.0,-5.0,20.0,-5.0,31.0,0.3125,0.2857142857142857,0.13095238095238093,0.07857142857142851,0.33043478260869574,1.0,0.36188719030047434,0.5454545454545454
"taaable:Glutinous_rice","dbpedia:Glutinous_millet","","-",-4.0,-4.0,21.0,-4.0,31.0,0.25,0.2571428571428571,0.13095238095238093,0.07857142857142851,0.33043478260869574,1.0,0.36188719030047434,0.5454545454545454
"taaable:Glutinous_rice","dbpedia:Glutinous_snail","","-",-5.0,-5.0,20.0,-5.0,27.0,0.33333333333333326,0.2857142857142857,0.1603174603174603,0.09619047619047616,0.3038539553752535,1.0,0.33368983957219256,0.5238095238095238
"taaable:Glutinous_rice","dbpedia:Glutinous_Sage","","-",-3.0,-3.0,20.0,-3.0,31.0,0.2142857142857143,0.2571428571428571,0.1428571428571429,0.08571428571428574,0.2739926739926739,1.0,0.30174569208244173,0.42105263157894735
"taaable:Glutinous_rice","category:Glutinous_rice_dishes","","-",-7.0,-7.0,28.0,-7.0,34.0,0.33333333333333326,0.0,0.11111111111111116,0.06666666666666665,0.12,1.0,0.11250000000000004,0.3913043478260869
"taaable:Pastrami","category:Pastry","","-",-3.0,-3.0,10.0,-3.0,12.0,0.375,0.16666666666666663,0.18055555555555547,0.10833333333333328,0.25037593984962403,1.0,0.25037593984962403,0.5454545454545454
"taaable:Mafalde","dbpedia:Maille","","-",-3.0,-3.0,5.0,-3.0,14.0,0.4285714285714286,0.5,0.25396825396825395,0.20317460317460312,1.8,1.0,1.0,0.75
